,Ingham,Kent,Macomb,Oakland,Washtenaw,Wayne
2020-08-22,18.04,58.93,86.96,89.83,28.6,60.62
2020-08-23,14.98,48.66,76.72,78.27,28.02,52.63
2020-08-24,17.28,59.41,88.33,84.9,39.94,63.33
2020-08-25,18.57,58.93,84.3,85.98,43.49,62.04
2020-08-26,17.93,62.08,82.73,86.11,49.26,58.61
2020-08-27,17.13,60.0,79.39,77.73,51.87,60.77
2020-08-28,17.44,62.08,76.04,75.72,56.18,53.16
2020-08-29,19.29,53.35,79.73,79.44,54.01,57.28
2020-08-30,14.6,54.18,76.59,68.23,50.2,50.03
2020-08-31,20.35,65.46,83.48,78.32,57.52,58.13
2020-09-01,19.25,60.47,81.16,77.46,51.25,60.49
2020-09-02,20.39,61.01,92.63,71.59,48.75,55.76
2020-09-03,17.74,57.39,85.32,73.03,48.97,57.34
2020-09-04,20.2,58.99,87.65,80.06,49.11,59.99
2020-09-05,14.86,49.38,75.09,71.15,48.17,51.88
2020-09-06,12.75,42.61,76.93,61.69,34.47,48.54
2020-09-07,12.82,42.61,66.21,60.44,30.23,53.76
2020-09-08,17.85,52.52,74.33,68.19,41.5,53.05
2020-09-09,15.62,56.74,77.82,68.06,43.17,55.03
2020-09-10,14.41,60.18,83.07,67.38,38.42,58.29
2020-09-11,17.36,64.81,80.89,84.63,48.82,60.12
2020-09-12,15.73,50.39,80.0,78.41,42.08,60.32
2020-09-13,10.55,46.05,65.46,66.26,34.87,53.71
2020-09-14,13.92,60.89,80.55,78.09,39.54,53.87
2020-09-15,16.41,60.3,82.25,71.91,38.64,55.17
2020-09-16,18.38,56.14,82.32,80.06,43.49,56.61
2020-09-17,20.46,66.23,98.84,90.64,46.03,59.66
2020-09-18,18.91,65.16,95.97,93.37,46.94,63.07
2020-09-19,21.82,66.47,99.93,91.22,44.84,63.33
2020-09-20,15.39,57.86,87.03,72.13,33.2,52.18
2020-09-21,16.72,68.55,96.72,74.42,39.98,62.67
2020-09-22,16.98,64.81,93.45,78.9,35.74,58.84
2020-09-23,19.1,67.54,96.11,81.68,31.53,59.98
2020-09-24,17.89,68.01,92.42,79.66,34.43,57.37
2020-09-25,21.71,69.97,101.98,89.52,47.88,63.21
2020-09-26,21.18,60.42,92.83,86.11,39.87,62.29
2020-09-27,14.67,48.01,81.98,67.74,31.13,53.73
2020-09-28,14.41,58.81,89.35,70.12,28.6,54.46
2020-09-29,15.62,62.02,79.39,77.02,32.37,53.89
