STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/3/2020,0,30,19
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/4/2020,0,21,2
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/5/2020,0,26,-9
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/6/2020,0.02,30,3
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/7/2020,0.27,23,7
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/8/2020,0,18,7
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/9/2020,0.02,19,6
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/10/2020,0,32,11
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/11/2020,0,27,15
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/12/2020,0.08,29,5
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/13/2020,0.19,5,-8
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/14/2020,0,14,-9
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/15/2020,0,22,2
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/16/2020,0,21,-9
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/17/2020,0,31,-17
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/18/2020,0.24,25,9
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/19/2020,0.01,12,-2
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/20/2020,0,19,-10
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/21/2020,0,43,7
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/22/2020,0,46,22
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/23/2020,0,49,25
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/24/2020,0,39,25
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/25/2020,0,28,19
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/26/2020,0.17,20,13
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/27/2020,0.19,15,10
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/28/2020,0,17,9
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",2/29/2020,0,32,-4
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/1/2020,0,42,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/2/2020,0,34,14
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/3/2020,0,34,14
